ID,Title,Released,Director,imdbRating,Ratings,Genre
tt0076759,Star Wars: Episode IV - A New Hope,25 May 1977,George Lucas,8.6,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '90/100'}]","Action, Adventure, Fantasy"
tt0054215,Psycho,08 Sep 1960,Alfred Hitchcock,8.5,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '97/100'}]","Drama, Horror, Mystery"
tt0062622,2001: A Space Odyssey,12 May 1968,Stanley Kubrick,8.3,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","Adventure, Sci-Fi"
tt0082158,Chariots of Fire,09 Apr 1982,Hugh Hudson,7.1,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","Biography, Drama, Sport"
tt0075148,Rocky,03 Dec 1976,John G. Avildsen,8.1,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '70/100'}]","Drama, Sport"
tt0060196,"The Good, the Bad and the Ugly",29 Dec 1967,Sergio Leone,8.8,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]","Adventure, Drama, Western"
tt0055928,Dr. No,10 Oct 1962,Terence Young,7.2,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","Action, Adventure, Thriller"
tt0180093,Requiem for a Dream,15 Dec 2000,Darren Aronofsky,8.3,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",Drama
tt0082971,Raiders of the Lost Ark,12 Jun 1981,Steven Spielberg,8.4,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}]","Action, Adventure"
tt0052520,The Twilight Zone,02 Oct 1959,N/A,9.0,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]","Drama, Fantasy, Horror"
