id,name,rating,themes,keywords,involved_companies,first_release_year
987,Halo 3,85.3,"[""Action"", ""Science fiction"", ""Sandbox"", ""Warfare""]","[""aliens"", ""zombies"", ""vehicular combat"", ""futuristic warfare"", ""monsters"", ""bloody"", ""infection"", ""insects"", ""pvp"", ""soldier"", ""military"", ""war"", ""achievements"", ""artificial intelligence"", ""capture the flag"", ""jungle"", ""king of the hill"", ""snow"", ""tank"", ""easter egg"", ""giant insects"", ""hunter"", ""unlockable items"", ""death match"", ""customization"", ""xbox one x enhanced"", ""color customization"", ""red vs blue"", ""ragdoll physics"", ""downloadable content"", ""player vs player"", ""xbox live"", ""melee"", ""useable vehicles"", ""in-game map editor"", ""friendly fire"", ""difficulty level"", ""banshee"", ""difficulty achievement"", ""team deathmatch"", ""alternative blood"", ""matchmaking"", ""scorpion"", ""dual wielding"", ""a.i. construct"", ""super soldier"", ""collective conciousness"", ""hunters"", ""online multiplayer achievements"", ""phantom"", ""xbox live achievements"", ""vehicles"", ""dual wield"", ""alien world"", ""male protagonist""]","[""Microsoft Game Studios"", ""Bungie""]",2007
7029,Kameo: Elements of Power,76.0,"[""Action"", ""Kids""]","[""orcs"", ""magic"", ""horse"", ""female protagonist"", ""action-adventure"", ""achievements"", ""day/night cycle"", ""horse riding"", ""boss fight"", ""split-screen multiplayer"", ""platform exclusive"", ""voice acting"", ""protagonist's name in the title"", ""bink video"", ""shopping"", ""microtransaction"", ""launch titles"", ""original soundtrack release"", ""unlockables"", ""ice stage"", ""treasure chest"", ""downloadable content"", ""games with gold"", ""water level"", ""xbox one backwards compatibility"", ""development hell"", ""shape-shifting"", ""games on demand"", ""submarine"", ""high definition graphics"", ""unskippable cutscene"", ""zero point achievements"", ""runes"", ""airship"", ""greatest hits"", ""platform change""]","[""Microsoft Game Studios"", ""Rare""]",2005
3153,Castle Crashers,77.7,"[""Action"", ""Comedy""]","[""pirates"", ""ghosts"", ""knights"", ""bloody"", ""medieval"", ""ninja"", ""magic"", ""minigames"", ""2d"", ""shark"", ""horse"", ""frog"", ""chicken"", ""pets"", ""rabbit"", ""spaceship"", ""brawler"", ""side-scrolling"", ""skeleton"", ""steam"", ""multiple protagonists"", ""bird"", ""achievements"", ""time limit"", ""online"", ""traps"", ""cartoon graphics"", ""steam trading cards"", ""snow"", ""dog"", ""bats"", ""squirrel"", ""hand-drawn"", ""owl"", ""horse riding"", ""boss fight"", ""steam achievements"", ""necromancy"", ""digital distribution"", ""steam cloud"", ""steam leaderboards"", ""pax west 2017"", ""anthropomorphism"", ""countdown timer"", ""playstation trophies"", ""pig"", ""leveling up"", ""world map"", ""character select screen"", ""scatological humor"", ""cat"", ""controller recommendation"", ""shopping"", ""skill points in game"", ""bow and arrow"", ""damsel in distress"", ""pop culture reference"", ""skeletons"", ""game reference"", ""unlockables"", ""white noise"", ""corpse"", ""retail games with steam activation"", ""4 player co-op"", ""playstation plus"", ""ice stage"", ""save file unlockables"", ""treasure chest"", ""downloadable content"", ""pax east 2016"", ""potion"", ""pax west 2016"", ""melee"", ""auto-saving"", ""real-time combat"", ""parrying"", ""shaky camera"", ""multi-phase boss"", ""spellcaster"", ""internet culture reference"", ""steam play"", ""pax prime 2013"", ""rpg elements"", ""pax prime 2014"", ""pax east 2014"", ""pax prime 2015"", ""catapult"", ""bread"", ""digital rights management"", ""leaderboard"", ""water level"", ""pax east 2015"", ""xbox one backwards compatibility"", ""sleeping"", ""igf awards"", ""auto-scrolling levels"", ""multiple enemy boss fights"", ""plot twist"", ""quick time event"", ""mana"", ""competitive co-op"", ""button mashing"", ""escaping imprisonment"", ""severed limbs"", ""hidden character"", ""pax east 2013"", ""alien abduction"", ""pax east 2012"", ""pax prime 2012"", ""camel"", ""hidden room"", ""environment as weapons"", ""online multiplayer achievements"", ""pax prime 2010"", ""avatar awards"", ""on disc dlc"", ""eating contest"", ""pax prime 2011"", ""pax east 2011"", ""pax east 2010"", ""pax 2009"", ""pax 2008"", ""summer of arcade 2008""]","[""The Behemoth""]",2008
3008,Banjo-Kazooie: Nuts & Bolts,63.7,"[""Action"", ""Comedy"", ""Open world""]","[""vehicular combat"", ""motorcycle"", ""gravity"", ""minigames"", ""construction"", ""mascot"", ""parody"", ""robots"", ""flight"", ""achievements"", ""time limit"", ""online"", ""portals"", ""snow"", ""teleportation"", ""sequel"", ""talking animals"", ""swimming"", ""instant replay"", ""day/night cycle"", ""user generated content"", ""boss fight"", ""vehicle combat"", ""anthropomorphism"", ""challenges"", ""rhinoceros"", ""platform exclusive"", ""pig"", ""customization"", ""protagonist's name in the title"", ""cat"", ""cow"", ""polygonal 3d"", ""shopping"", ""breaking the fourth wall"", ""game reference"", ""collectibles"", ""sequel is in a different genre"", ""original soundtrack release"", ""non-player character"", ""vehicle customization"", ""escort mission"", ""downloadable content"", ""melee"", ""vision obstruction"", ""walking through walls"", ""games with gold"", ""fake glitch"", ""self-referential humor"", ""rpg elements"", ""video game characters that play video games"", ""destructible environment"", ""leaderboard"", ""sequence breaking"", ""villain"", ""xbox one backwards compatibility"", ""invisible wall"", ""physics manipulation"", ""trophies"", ""games on demand"", ""starting grid"", ""particle system"", ""pre-order exclusive"", ""dolby digital"", ""unskippable tutorial"", ""fetch quests"", ""zero point achievements"", ""regenerating health"", ""compact disc"", ""time trials"", ""upgradeable vehicles"", ""camel"", ""police chase"", ""fictional currencies"", ""rail shooting segment"", ""skull for a head"", ""collection marathon"", ""tiered exploration"", ""metagame"", ""gibberish"", ""web integration"", ""online multiplayer achievements"", ""viral achievement"", ""xbox live arcade game integration"", ""tokyo game show 2008"", ""suggestive themes""]","[""Microsoft Game Studios"", ""Rare""]",2008
150029,Sonic the Hedgehog,87.7,"[""Action""]","[""bootleg"", ""unofficial"", ""unlicensed game"", ""rom hack"", ""unofficial crossover""]","[""Twin Eagles Group""]",1996
21796,Super Street Fighter II Turbo HD Remix,79.9,"[""Action""]","[""martial arts"", ""gravity"", ""death"", ""hand-to-hand combat"", ""bromance"", ""achievements"", ""time limit"", ""multiple endings"", ""online"", ""kung fu"", ""high score"", ""wall jump"", ""playstation network"", ""clan"", ""digital distribution"", ""playstation trophies"", ""super-ness"", ""character select screen"", ""human"", ""sumo wrestler"", ""special attacks"", ""playstation plus"", ""super combo"", ""xbox live"", ""melee"", ""grapple"", ""real-time combat"", ""release upgrade"", ""difficulty level"", ""evo championship series"", ""high definition graphics"", ""animation canceling"", ""wrestling moves in non-wrestling games"", ""voice chat"", ""rushdown"", ""in-game moves list"", ""fire manipulation"", ""bots"", ""hidden character"", ""playable boss"", ""music speed up"", ""ranked match"", ""revenge meter""]","[""Capcom""]",2008
59,The Elder Scrolls IV: Oblivion,85.3,"[""Action"", ""Fantasy"", ""Historical"", ""Sandbox"", ""Open world""]","[""ghosts"", ""assassin"", ""hunting"", ""exploration"", ""orcs"", ""bloody"", ""wizards"", ""medieval"", ""disease"", ""vampire"", ""murder"", ""drugs"", ""magic"", ""3d"", ""minigames"", ""organized crime"", ""guild"", ""summoning support"", ""death"", ""elves"", ""horse"", ""archery"", ""swordplay"", ""deer"", ""mythology"", ""female protagonist"", ""hand-to-hand combat"", ""skeleton"", ""religion"", ""steam"", ""achievements"", ""undead"", ""traps"", ""stacking"", ""portals"", ""artificial intelligence"", ""custom soundtrack"", ""dialogue trees"", ""revenge"", ""snow"", ""wolf"", ""torture"", ""slavery"", ""racism"", ""dog"", ""teleportation"", ""singing"", ""sequel"", ""chemistry"", ""dreams"", ""good vs evil"", ""swimming"", ""day/night cycle"", ""gladiators"", ""cult"", ""playstation network"", ""alchemy"", ""darkness"", ""trolls"", ""user generated content"", ""horse riding"", ""boss fight"", ""trainer"", ""sexual content"", ""sheep"", ""necromancy"", ""single-player only"", ""anthropomorphism"", ""game critics awards"", ""playstation trophies"", ""attributes"", ""rivaling factions"", ""customizable characters"", ""leveling up"", ""world map"", ""voice acting"", ""bink video"", ""demon invasion"", ""mind control"", ""human"", ""shopping"", ""bow and arrow"", ""loot gathering"", ""microtransaction"", ""goblins"", ""skeletons"", ""rat"", ""lion"", ""original soundtrack release"", ""active ability"", ""non-player character"", ""corpse"", ""sprinting mechanics"", ""arena combat"", ""minotaurs"", ""ragdoll physics"", ""escort mission"", ""falling damage"", ""treasure chest"", ""character creation"", ""saving the world"", ""moral decisions"", ""side quests"", ""pick your gender"", ""branching storyline"", ""royalty"", ""duel"", ""downloadable content"", ""questing"", ""potion"", ""black market"", ""melee"", ""auto-saving"", ""real-time combat"", ""a.i. companion"", ""stat tracking"", ""instant kill"", ""invisible enemy"", ""betrayal"", ""shielded enemies"", ""difficulty level"", ""spellcaster"", ""multiple gameplay perspectives"", ""mercenary"", ""crab"", ""magic staff"", ""robbery"", ""bread"", ""commerce"", ""bribery"", ""theft"", ""vampire hunter"", ""interactive environments"", ""changing sides"", ""xbox one backwards compatibility"", ""physics manipulation"", ""sleeping"", ""item combination"", ""shape-shifting"", ""controversy"", ""games on demand"", ""never-ending"", ""merchants"", ""reptilian humanoid"", ""mod support"", ""high definition graphics"", ""particle system"", ""dolby digital"", ""summoners"", ""boss assistance"", ""valuable garbage"", ""stealth kill"", ""fetch quests"", ""regicide"", ""quest tracking"", ""mana"", ""meme origin"", ""animal cruelty"", ""levitation"", ""book adaptation"", ""camera shift"", ""poisoning"", ""invisibility"", ""scripted events"", ""fire manipulation"", ""blacksmith"", ""zero to hero"", ""pickpocketing"", ""dual wielding"", ""lock picking"", ""telekinesis"", ""optional lore"", ""escaping imprisonment"", ""fast traveling"", ""dream sequence"", ""barbarians"", ""innocent people die"", ""acrobatics"", ""sociopathy"", ""restoration"", ""dark elves"", ""fully customizable controls"", ""moving bodies"", ""behind the waterfall"", ""foreshadowing"", ""movement penalty"", ""battle mage"", ""two-handed weapons"", ""verticality"", ""pseudo non-linear"", ""flower picking"", ""bartender"", ""persistent world"", ""cryokinesis"", ""god mode"", ""boar"", ""ghostly manifestation"", ""sneaking mission"", ""warping"", ""heroic sacrifice"", ""negotiation"", ""plane shifting"", ""adamantium"", ""greatest hits"", ""white magic"", ""conjuration"", ""illusion"", ""vampirism"", ""level scaling"", ""monomyth"", ""pc to console port"", ""kill quest"", ""aberrant a.i. behaviour"", ""tomb raiding"", ""level by doing"", ""witch hunter"", ""multi-monitor support"", ""infinite pockets"", ""uncanny valley"", ""fake interactivity"", ""memorial"", ""roaming the countryside"", ""interactive achievement awards 2007"", ""spike video game awards 2006"", ""immersive"", ""suggestive themes"", ""lgbtq"", ""sword sorcery""]","[""Bethesda Game Studios"", ""2K Games"", ""4J Studios"", ""Bethesda Softworks"", ""Ubisoft Entertainment""]",2006
316900,Sonic The Hedgehog,0,"[""Action""]","[""unofficial"", ""fangame""]","[""Sonic NEXT PC Team""]",
522,Fable II,79.1,"[""Action"", ""Fantasy"", ""Open world""]","[""magic"", ""sword"", ""swordplay"", ""werewolf"", ""online"", ""dog"", ""economy"", ""sequel"", ""animal companions"", ""mercenary"", ""coming of age"", ""xbox one backwards compatibility"", ""women in refrigerators syndrome"", ""age progression"", ""superpowers"", ""sex work"", ""renovation"", ""sword fight"", ""digging"", ""trade and economics""]","[""Microsoft Game Studios"", ""Lionhead Studios""]",2008
7057,Lost Odyssey,83.1,"[""Open world""]","[""turn-based"", ""xbox one backwards compatibility"", ""women in refrigerators syndrome"", ""dark past""]","[""Feelplus"", ""Microsoft Game Studios"", ""Mistwalker""]",2007
